Name,Slug,Token contract,ChainId,Daily reward,Token name
Sappy Seals,sappy-seals,0x427a03fb96d9a94a6727fbcfbba143444090dd64,1,50,$PIXL
Crypto Zombiez,cryptozombieznft,0x25d4bfeeae3360e68c466c65a5e8f8d5cebc5093,1,10,$FLESH
Ether Orcs,ether-orcs,0xfEE5F54e1070e7eD31Be341e0A5b1E847f6a84Ab,1,16,$ZUG
StackedToadz,stackedtoadz,0x1bbb57def2f6192f0b9b8565f49034bf1fcdb604,1,25,$STACK
Head DAO,headdao,0x6725363E565BAA1dda45d492810298ae0b25c4ac,1,5,$HEAD
Mutant Cats,mutantcats,0x2604e9f68259e609e8744fb67cc410d50fc9aa0f,1,10,$FISH
Kaiju Genesis,kaiju-kingz,0x5cd2fac9702d68dde5a94b1af95962bcfb80fc7d,1,5,$RWASTE
Anonymice,anonymice,0x5f7ba84c7984aa5ef329b66e313498f0aed6d23a,1,1,$CHEETH
Sneaky Vampire Syndicate,sneaky-vampire-syndicate,0x12753244901f9e612a471c15c7e5336e813d2e0b,1,3,$BLOOD
CyberKongz Genesis,cyberkongz,0xE2311ae37502105b442bBef831E9b53c5d2e9B3b,1,10,$BANANA
Supducks,supducks,0xffbf315f70e458e49229654dea4ce192d26f9b25,1,10,$VOLT
Nil DAO,n-project,0x47252a63c723889814aebcac0683e615624cec64,1,0.27,$NIL
Top Dog Beach Club,topdogbeachclub,0x8d00be75f403a0dac89f635c7d40728efbaf7a11,1,10,$SNAX
Bit Monsters,bit-monsters-nft,0x2ca1803b5eb52c2aff90cb2801dda3ccad49f64c,1,1,$BRAINZ
Feudalz,feudalz,0x7bE647634A942e73F8492d15Ae492D867Ce5245c,1,3,$GOLDZ
Official Dormant Dragons,official-dormant-dragons,0x67725FB3751c257920a88c543ba9b4BA8CfbfA5D,1,10,$SMOKE
Furballs,furballs-com-official,0x226dE3151531AD8f6e4f6BEBb1Bd010bA25436fc,1,2400,$FUR
Bears Deluxe,bears-deluxe,0x40615B82999b8aa46803F11493BeDAB0314EB5E7,1,1,$HONEYD
Bees Deluxe,bees-deluxe,0x40615B82999b8aa46803F11493BeDAB0314EB5E7,1,0.107,$HONEYD
Humans Metaverse,humans-metaverse,0x68b1b0b89e52440df04237a21751331ae9e87a23,1,10,$HOTM
NeoTokyo Citizens,neotokyo-citizens,0x7d647b1a0dcd5525e9c6b3d14be58f27674f8c95,1,1,$BYTES
Ape Gang,ape-gang,0xb73758fe1dc58ac2a255a2950a3fdd84da656b84,1,1,$GANG
Luchadores,luchadores-io,0x6749441Fdc8650b5b5a854ed255C82EF361f1596,137,1,$LUCHA
Zombie Cats,zombiecat,0xdb846f1cd31acc9a6db72a1c58dc1760485505f4,1,20,$ZCAT
Shogun Samurais,shogunsamurais,0xf9abaeec0334fd30804446db7423abe0c02ef47d,1,1,$SHO
Whales Game,official-whales-game,0xda9f97b9de8509938c65db0f0cb0ff9ea425e9a0,137,8000,$KRILL
Roaring Leaders,roaringleaders,0xcbbA83a4d3F35D294A26012AC54e9ab6627da018,1,10,$ROAR
Uninterested Unicorns,ununicornsofficial,0xB1Db366890EeB8f28C2813C6a6084353e0b90713,1,6,$UCD
Defenders of Dogewood,defenders-of-dogewood,0x12d7b28a055621f4ba0c146d1728082ecf1b9390,1,1,$TREAT
Yakuza Cats Society,theyakuzacatssociety,0x2c0da41c89adb5a1d4430e5761b9b400911426b0,1,10,$DAMA
Creepz,genesis-creepz,0xeb57bf569ad976974c1f861a5923a59f40222451,1,1500,$LOOMI